,User,Tweet
3189,airnewsalerts,"RT @g20org: Experiencing #DigitalIndia! 

At Shilpgram crafts village, #G20 delegates used the UPI, India’s homegrown and massively success…"
3190,PIBKolkata,"👉𝓔𝔁𝓹𝓮𝓻𝓲𝓮𝓷𝓬𝓲𝓷𝓰 #𝓓𝓲𝓰𝓲𝓽𝓪𝓵𝓘𝓷𝓭𝓲𝓪!

👉At Shilpgram crafts village, #G20 delegates used UPI, India’s homegrown and massively successful digital payments interface to make a transaction and buy Rajasthani angrakha

#G20India @g20org 

https://t.co/fNtNOp6an2"
3191,OMM_SHIVOHAM,"RT @PIB_India: 𝓔𝔁𝓹𝓮𝓻𝓲𝓮𝓷𝓬𝓲𝓷𝓰 #𝓓𝓲𝓰𝓲𝓽𝓪𝓵𝓘𝓷𝓭𝓲𝓪!

At Shilpgram crafts village, #G20 delegates used UPI, India’s homegrown and massively successfu…"
3192,RajeshNis1,RT @SKodineya: #Digital #court is #initiative to make court #records available to #judges in digitized form to enable #transition to #Paper…
3193,AdityaD13562693,"RT @PIB_India: 𝓔𝔁𝓹𝓮𝓻𝓲𝓮𝓷𝓬𝓲𝓷𝓰 #𝓓𝓲𝓰𝓲𝓽𝓪𝓵𝓘𝓷𝓭𝓲𝓪!

At Shilpgram crafts village, #G20 delegates used UPI, India’s homegrown and massively successfu…"
3194,PIB_India,"𝓔𝔁𝓹𝓮𝓻𝓲𝓮𝓷𝓬𝓲𝓷𝓰 #𝓓𝓲𝓰𝓲𝓽𝓪𝓵𝓘𝓷𝓭𝓲𝓪!

At Shilpgram crafts village, #G20 delegates used UPI, India’s homegrown and massively successful digital payments interface to make a transaction and buy Rajasthani angrakha

#G20India @g20org https://t.co/8G4bZhw2m1"
3195,_DigitalPolice,#Covid19 Hoax: #CBDC would play a major role in depopulation agenda of international cabal and #GenocidalManiacs https://t.co/6X2xfS9xG9. Break free from all @_Orwellian and totalitarian controls now says @IMPraveenDalal. #DigitalIndia @_PTLB @_ETax @_CEPHRC @_OfficialECI https://t.co/SQI6Zq87BN
3196,_DigitalPolice,#Covid19 Hoax: #GenocidalManiacs have been planning #Genocide and #DepopulationAgenda for decades. They are using paid media and #FakeScience to legalise killings under one excuse or other says Visionary @IMPraveenDalal https://t.co/8Dk4Y0QV9j #DigitalIndia @_PTLB @_OfficialECI
3197,SKIBRARULHAQUE3,"RT @CSCegov_: Travel Services through #CSC...

Now Book Train, Flight, Bus, and even Hotels through Digital Seva Portal and Earn Great Comm…"
3198,namanrusiya,"RT @g20org: Experiencing #DigitalIndia! 

At Shilpgram crafts village, #G20 delegates used the UPI, India’s homegrown and massively success…"
3199,TheRohanParekh,"RT @g20org: Experiencing #DigitalIndia! 

At Shilpgram crafts village, #G20 delegates used the UPI, India’s homegrown and massively success…"
3200,FanKalpana,"RT @SKodineya: #Never #store #business #Data on #personal drives. 
#StaySafeOnline #cybersecuritytips
#G20India
#DigitalIndia
#DigitalTrans…"
3201,chandra50422690,"RT @eOrganiser: German Foreign Minister shops at Chandni Chowk, uses Paytm for payment 

#DigitalIndia #ChandniChowk  https://t.co/C15ROixb…"
3202,Rajendr76194898,RT @RijijuOffice: Hon'ble Union Minister of Law &amp; Justice Shri @KirenRijiju ji attended the meeting &amp; presentation on 'Digital Courts' by H…
3203,_DigitalPolice,RT @_OfficialECI: #Covid19 Hoax: #CBDC would play a major role in #DepopulationAgenda of international cabal and #GenocidalManiacs https://…
3204,BJPBadshahpur,"RT @SKodineya: #Never #store #business #Data on #personal drives. 
#StaySafeOnline #cybersecuritytips
#G20India
#DigitalIndia
#DigitalTrans…"
3205,_DigitalPolice,RT @_PTLB: India Is A Sitting Duck In #CyberSecurity Area Warned Visionary @IMPraveenDalal In 2014 https://t.co/EA1VGV57HS. But Modi Govt I…
3206,_DigitalPolice,RT @_PTLB: Offensive And Defensive #CyberSecurity In India Must Be Established Says Visionary @IMPraveenDalal https://t.co/XPRe7iRsQc. But…
3207,_DigitalPolice,RT @_PTLB: Modi Govt Failed To Address #CyberSecurity Challenges Despite A Warning In 2014 By Visionary @IMPraveenDalal https://t.co/WwFbBx…
3208,_DigitalPolice,RT @_PTLB: #CyberSecurity Challenges For Modi Govt As Suggested By Visionary @IMPraveenDalal In 2014 https://t.co/I56I8RyGVe. But Modi Govt…
3209,_DigitalPolice,"RT @_PTLB: Central Bank Digital Currency (#CBDC) of India has serious #Privacy, #CyberSecurity and #DataProtection issues https://t.co/D5vP…"
3210,_DigitalPolice,"RT @_PrivacyRight: Central Bank Digital Currency (#CBDC) of India has serious #Privacy, #CyberSecurity and #DataProtection issues https://t…"
3211,_DigitalPolice,RT @_PrivacyRight: #CyberLaw Due Diligence For VPN Service Providers In India By Using @ODRIndia Portal Of Visionary @IMPraveenDalal https:…
3212,_DigitalPolice,RT @AadhaarLies: It is the wet dream on international cabal and Modi govt to put India under an @_Orwellian and totalitarian control and ce…
3213,_DigitalPolice,RT @AadhaarLies: It is the wet dream of international cabal and Modi govt to put India under an @_Orwellian and totalitarian control and ce…
3214,BJP4Kupwara,"RT @_DigitalIndia: #DigitalIndia | Choose a differently-abled category and a disability percentage, and myScheme will provide a list of sch…"
3215,_DigitalPolice,RT @_GroundReality: #Telelaw Startup Of Visionary @IMPraveenDalal Would Resolve Ground Level Problems Of Rural Communities And Global Farme…
3216,ASHUTOS62964168,"RT @g20org: Experiencing #DigitalIndia! 

At Shilpgram crafts village, #G20 delegates used the UPI, India’s homegrown and massively success…"
3217,_DigitalPolice,RT @_GroundReality: AFPOH Startup Of Visionary @IMPraveenDalal Is The Digital Companion And Digital Gateway For Indian Farmers https://t.co…
3218,Anuj_Swarup,"RT @g20org: Experiencing #DigitalIndia! 

At Shilpgram crafts village, #G20 delegates used the UPI, India’s homegrown and massively success…"
3219,_DigitalPolice,RT @_OfficialECI: #Covid19 Hoax: #GenocidalManiacs have been planning #Genocide and #DepopulationAgenda for decades. They are using paid me…
3220,_DigitalPolice,RT @_PTLB: We need to create alternative institutions to get justice. @ODRIndia Portal of Visionary @IMPraveenDalal is the new #TempleOfJus…
3221,_DigitalPolice,"RT @_financiallaws: #Demonetisation is a plan of international cabal and Modi govt is part of it. Now it is using #Aadhaar, @_Biometric at…"
3222,_DigitalPolice,RT @_financiallaws: Supreme Court may pretend that #Demonetisation was not evil and it did not collapse economy. But people are smart and t…
3223,_DigitalPolice,"RT @_FairElection: Never forget that #Demonetisation, lockdown, #DeathShots, etc collapsed Indian economy and killed millions of Indians. N…"
3224,_DigitalPolice,RT @_FairElection: People have awakened and they are openly questioning the #fakescience and #fakescientists of UN regarding #GlobalWarming…
3225,_DigitalPolice,RT @_FairElection: #Demonetisation was never about black money. Its sole aim was to collapse decentralised Indian economy and create a cent…
3226,_DigitalPolice,RT @_OfficialECI: People have awakened and they are openly questioning the #fakescience and #fakescientists of UN regarding #GlobalWarming…
3227,_DigitalPolice,"RT @_OfficialECI: Never forget that #Demonetisation, lockdown, #DeathShots, etc collapsed Indian economy and killed millions of Indians. No…"
3228,_DigitalPolice,RT @_OfficialECI: #Demonetisation was never about black money. Its sole aim was to collapse decentralised Indian economy and create a centr…
3229,_DigitalPolice,RT @_GroundReality: #Covid19 Hoax: #CBDC is a desperate attempt of global regulatory bodies to force centralised control over currency and…
3230,_DigitalPolice,"RT @_FairElection: If you have installed @_Orwellian and #Privacy violating #UMANGApp, uninstall it immediately. Using the zumlabazi of gov…"
3231,_DigitalPolice,RT @_FairElection: Supreme Court may pretend that #Demonetisation was not evil and it did not collapse Indian economy. But people are smart…
3232,_DigitalPolice,"RT @_OfficialECI: If you have installed @_Orwellian and #Privacy violating #UMANGApp, uninstall it immediately. Using the zumlabazi of govt…"
3233,_DigitalPolice,RT @_GroundReality: #Covid19 Hoax: #CBDC would play a major role in #DepopulationAgenda of international cabal and #GenocidalManiacs https:…
3234,govinda_sonibjp,RT @RijijuOffice: Hon'ble Union Minister of Law &amp; Justice Shri @KirenRijiju ji attended the meeting &amp; presentation on 'Digital Courts' by H…
3235,_DigitalPolice,RT @_OfficialECI: Supreme Court may pretend that #Demonetisation was not evil and it did not collapse Indian economy. But people are smart…
3236,_DigitalPolice,RT @_CEPHRC: Evil policies of Modi govt have collapsed Indian economy and caused massive #Unemployment in India. Now #Startups have started…
3237,_DigitalPolice,"RT @_GroundReality: If you have installed @_Orwellian and #Privacy violating #UMANGApp, uninstall it immediately. Using the zumlabazi of go…"
3238,_DigitalPolice,RT @_GroundReality: People have awakened and they are openly questioning the #fakescience and #fakescientists of UN regarding #GlobalWarmin…
3239,_DigitalPolice,RT @_GroundReality: Supreme Court may pretend that #Demonetisation was not evil and it did not collapse Indian economy. But people are smar…
3240,_DigitalPolice,"RT @_PrivacyRight: Indian govt is notoriously infamous for ignoring crucial laws like #privacy, #dataprotection, #cybersecurity etc on the…"
3241,_DigitalPolice,"RT @_PrivacyRight: Indians are #UsefulIdiots who can be easily manipulated by using #Jumlabaazi of Modi govt. From #Aadhaar to #UMANGApp, t…"
3242,_DigitalPolice,"RT @_PrivacyRight: Your #DigitalRights and #HumanRights are only as strong as you are willing to enforce them. If you surrender the same, y…"
3243,_DigitalPolice,"RT @_PrivacyRight: We Are Living In Dangerous Times. Constitution And #RuleOfLaw Are Collapsing, #Privacy And #HumanRights Are Dying, Oppre…"
3244,_DigitalPolice,"RT @_PrivacyRight: If you have installed @_Orwellian and #Privacy violating #UMANGApp, uninstall it immediately. Using the #Jumlabaazi of g…"
3245,_DigitalPolice,RT @_PrivacyRight: There are and there would be very few takers of #CBDC or any other govt controlled #cryptocurrency on a large scale due…
3246,_DigitalPolice,"RT @_PrivacyRight: Nobody bothers about #Privacy, #CyberSecurity and #DataProtection of Indian consumers and their data but we at @P4LOIndi…"
3247,GanAdilkhuu,"RT @NICMeity: #NICThisWeek - Glimpses of National Informatics Centre (NIC) support to Government of India.
➡️https://t.co/WJQAozCo50
#NICMe…"
3248,GanAdilkhuu,RT @GoI_MeitY: The digital court is an initiative to make court records available to the judge in digitized form to enable the transition t…
3249,_DigitalPolice,"RT @_PrivacyRight: Only fools would convert their cash into #CBDC or any other govt controlled #cryptocurrency on a large scale. #Privacy,…"
3250,WasimIq71000938,"RT @CSCegov_: Travel Services through #CSC...

Now Book Train, Flight, Bus, and even Hotels through Digital Seva Portal and Earn Great Comm…"
3251,WasimIq71000938,"RT @cscfinancial_: Who is eligible for CSC-HDFC Bank Dukandaar OD!

#cscfinancialservices
#hdfcbank
#digitalindia https://t.co/be1lArE3L4"
3252,Mani80874558,"@RailwaySeva What is cost of call to 139? with delayed communication, concerns regarding the NTES app #digitalindia mission @amofficialCRIS is excellent. Execution is important @RailMinIndia"
3253,prafullaketkar,"RT @eOrganiser: German Foreign Minister shops at Chandni Chowk, uses Paytm for payment 

#DigitalIndia #ChandniChowk  https://t.co/C15ROixb…"
3254,SKodineya,"#Digital #court is #initiative to make court #records available to #judges in digitized form to enable #transition to #PaperlessCourts. #DigitalIndia
(https://t.co/nbRPyH7wqJ)
#DigitalTransformation
#Justice
#DataVisualization
#Online
#eGovernance
#GoodGovernance
#Public
#domain https://t.co/mTCKbMc5ef"
3255,MenTooRHuman,"@Men_Helpline @SaurabhRaina12 @Ajay_AFT @MdZarafat @Manish_AFT @Sudhanshu_MRA @Nidhykatiyar @atulkeshari2 @dowrycakes @PaurushHelpline @mahi_gupta96 @GemsofMales @childLOVEpapa Is this happening while the virtual hearing was ON?

#SupremeCourtOfIndia #DigitalIndia 
 He is enjoying scrapping of adultery law."
3256,biren_b,"RT @eOrganiser: German Foreign Minister shops at Chandni Chowk, uses Paytm for payment 

#DigitalIndia #ChandniChowk  https://t.co/C15ROixb…"
3257,heeraman98,"RT @eOrganiser: German Foreign Minister shops at Chandni Chowk, uses Paytm for payment 

#DigitalIndia #ChandniChowk  https://t.co/C15ROixb…"
3258,56perumal,"RT @eOrganiser: German Foreign Minister shops at Chandni Chowk, uses Paytm for payment 

#DigitalIndia #ChandniChowk  https://t.co/C15ROixb…"
3259,airnews_mumbai,"RT @g20org: Experiencing #DigitalIndia! 

At Shilpgram crafts village, #G20 delegates used the UPI, India’s homegrown and massively success…"
3260,iatulshakya563,"RT @CSCegov_: Sh. Saurabh Garg, CEO, UIDAI addressed at National Workshop on 'Aadhaar Services through CSC:' https://t.co/fPLhAhVE4k

#Digi…"
3261,_PrivacyRight,"We Are Living In Dangerous Times. Constitution And #RuleOfLaw Are Collapsing, #Privacy And #HumanRights Are Dying, Oppression Tools Like #Aadhaar, #DigitalIndia And New Surveillance Laws And Methods Are Implemented Regularly. Fight Or Perish, Your Choice Warns @IMPraveenDalal. https://t.co/X1QogUGLeV"
3262,_PrivacyRight,"Nobody bothers about #Privacy, #CyberSecurity and #DataProtection of Indian consumers and their data but we at @P4LOIndia and @_CEPHRC take them very seriously. If you are also serious, contact @ODRIndia Portal of Visionary @IMPraveenDalal today. #DigitalIndia #LegalTech #Aadhaar https://t.co/95jzIY5R11"
3263,rachiangels63,"RT @g20org: Experiencing #DigitalIndia! 

At Shilpgram crafts village, #G20 delegates used the UPI, India’s homegrown and massively success…"
3264,_PrivacyRight,"Your #DigitalRights and #HumanRights are only as strong as you are willing to enforce them. If you surrender the same, you have no rights at all says Visionary @IMPraveenDalal. Use @ODRIndia Portal to safeguard your rights. #DigitalIndia #Aadhaar #Privacy #LegalTech @_CEPHRC https://t.co/iyO1OviaZX"
3265,_PrivacyRight,There are and there would be very few takers of #CBDC or any other govt controlled #cryptocurrency on a large scale due to #Privacy and #Anonymity issues says Visionary @IMPraveenDalal. #DigitalIndia #LegalTech #InheritanceTax #CyberLaw #NFTs #NFT @_ETax @_FinancialLaws @_CEPHRC https://t.co/HwAsXa9GMk
3266,_PrivacyRight,"Only fools would convert their cash into #CBDC or any other govt controlled #cryptocurrency on a large scale. #Privacy, #Surveillance and #Anonymity issues cannot be ignored says Visionary @IMPraveenDalal. Are you a fool? #DigitalIndia #LegalTech #InheritanceTax #CyberLaw #NFTs https://t.co/X0zxVB6Es2"
3267,_PrivacyRight,"Indians are #UsefulIdiots who can be easily manipulated by using #Jumlabaazi of Modi govt. From #Aadhaar to #UMANGApp, they have been sacrificing their #Privacy, #CyberSecurity and #Data with nil benefit says Visionary @IMPraveenDalal. #DigitalIndia @_OfficialECI @_FairElection https://t.co/t7td2Zy4RY"
3268,_PrivacyRight,#CyberLaw Due Diligence For VPN Service Providers In India By Using @ODRIndia Portal Of Visionary @IMPraveenDalal https://t.co/jpPO2s66rA. #LegalTech #DigitalIndia #Privacy #DataProtection #CyberSecurity @_PTLB @_SecurityBytes @_DigitalPolice @_GroundReality @AadhaarLies @_CEPHRC https://t.co/IMEVmCJaRs
3269,kuppusamys14,"RT @g20org: Experiencing #DigitalIndia! 

At Shilpgram crafts village, #G20 delegates used the UPI, India’s homegrown and massively success…"
3270,_PrivacyRight,"Central Bank Digital Currency (#CBDC) of India has serious #Privacy, #CyberSecurity and #DataProtection issues https://t.co/YkF4uSIKo5. India is not at all ready for CBDC says Visionary @IMPraveenDalal. #DigitalIndia #LegalTech @_PTLB @_ETax @_FinancialLaws @_CEPHRC @_OfficialECI https://t.co/2CMPe80Izp"
3271,iMavvy_,"Digital transformation at G20India..
Cutting queues with RFID..

Delegates are digitally scanned for access to their meeting venue..
#DigitalIndia 🇮🇳 🇮🇳 https://t.co/oj2EDqD1E9"
3272,_PrivacyRight,"Indian govt is notoriously infamous for ignoring crucial laws like #privacy, #dataprotection, #cybersecurity etc on the one hand and excessive use of illegal and unconstitutional e-surveillance on the other hand says Visionary @IMPraveenDalal https://t.co/YkF4uSIKo5 #DigitalIndia https://t.co/b8ctIbgXUr"
3273,_PrivacyRight,"If you have installed @_Orwellian and #Privacy violating #UMANGApp, uninstall it immediately. Using the #Jumlabaazi of govt services, Modi govt has put you in a #DigitalPanopticon warns Visionary @IMPraveenDalal. #DigitalIndia @_PTLB @_CEPHRC @_DigitalPolice @_GroundReality https://t.co/VjVWTqJHdW"
3274,sushmibhaduri28,"RT @g20org: Experiencing #DigitalIndia! 

At Shilpgram crafts village, #G20 delegates used the UPI, India’s homegrown and massively success…"
3275,C_M_P17,"RT @rishi_dr119: Opposition after launch of Digital Currency
where they couldn't find Bapu😢😢😭😭

अबे बापू को ठीक से पकड़ो….कहीं गिर न जाएँ😜😂…"
3276,GourabD85256837,"RT @g20org: Experiencing #DigitalIndia! 

At Shilpgram crafts village, #G20 delegates used the UPI, India’s homegrown and massively success…"
3277,_PrivacyRight,RT @_financiallaws: #Covid19 Hoax: #GenocidalManiacs have been planning #Genocide and #DepopulationAgenda for decades. They are using paid…
3278,_PrivacyRight,RT @_FairElection: #Covid19 Hoax: #GenocidalManiacs have been planning #Genocide and #DepopulationAgenda for decades. They are using paid m…
3279,_PrivacyRight,"RT @_PTLB: Central Bank Digital Currency (#CBDC) of India has serious #Privacy, #CyberSecurity and #DataProtection issues https://t.co/D5vP…"
3280,_PrivacyRight,RT @_PTLB: Offensive And Defensive #CyberSecurity In India Must Be Established Says Visionary @IMPraveenDalal https://t.co/XPRe7iRsQc. But…
3281,_PrivacyRight,RT @_PTLB: Modi Govt Failed To Address #CyberSecurity Challenges Despite A Warning In 2014 By Visionary @IMPraveenDalal https://t.co/WwFbBx…
3282,_PrivacyRight,RT @_OfficialECI: #Covid19 Hoax: #GenocidalManiacs have been planning #Genocide and #DepopulationAgenda for decades. They are using paid me…
3283,_PrivacyRight,RT @_PTLB: We need to create alternative institutions to get justice. @ODRIndia Portal of Visionary @IMPraveenDalal is the new #TempleOfJus…
3284,_PrivacyRight,RT @_FairElection: People have awakened and they are openly questioning the #fakescience and #fakescientists of UN regarding #GlobalWarming…
3285,_PrivacyRight,RT @_PTLB: India Is A Sitting Duck In #CyberSecurity Area Warned Visionary @IMPraveenDalal In 2014 https://t.co/EA1VGV57HS. But Modi Govt I…
3286,_PrivacyRight,RT @_OfficialECI: Supreme Court may pretend that #Demonetisation was not evil and it did not collapse Indian economy. But people are smart…
3287,_PrivacyRight,RT @_FairElection: #Demonetisation was never about black money. Its sole aim was to collapse decentralised Indian economy and create a cent…
3288,_PrivacyRight,"RT @_OfficialECI: Never forget that #Demonetisation, lockdown, #DeathShots, etc collapsed Indian economy and killed millions of Indians. No…"
3289,_PrivacyRight,"RT @_FairElection: Never forget that #Demonetisation, lockdown, #DeathShots, etc collapsed Indian economy and killed millions of Indians. N…"
3290,_PrivacyRight,RT @_PTLB: #CyberSecurity Challenges For Modi Govt As Suggested By Visionary @IMPraveenDalal In 2014 https://t.co/I56I8RyGVe. But Modi Govt…
3291,_PrivacyRight,RT @_OfficialECI: #Demonetisation was never about black money. Its sole aim was to collapse decentralised Indian economy and create a centr…
3292,_PrivacyRight,RT @_FairElection: Supreme Court may pretend that #Demonetisation was not evil and it did not collapse Indian economy. But people are smart…
3293,_PrivacyRight,RT @_GroundReality: Supreme Court may pretend that #Demonetisation was not evil and it did not collapse Indian economy. But people are smar…
3294,Volvoking16,Let this sink in for all the Modi haters #DigitalIndia #PMModi https://t.co/5f16G35U99
3295,_PrivacyRight,RT @_OfficialECI: People have awakened and they are openly questioning the #fakescience and #fakescientists of UN regarding #GlobalWarming…
3296,_PrivacyRight,"RT @_FairElection: If you have installed @_Orwellian and #Privacy violating #UMANGApp, uninstall it immediately. Using the zumlabazi of gov…"
3297,_PrivacyRight,"RT @_OfficialECI: If you have installed @_Orwellian and #Privacy violating #UMANGApp, uninstall it immediately. Using the zumlabazi of govt…"
3298,ippopayofficial,"UPI consumption on its highest...

#digitalpayments #UPI #fintech #paymentsolutions #DigitalIndia https://t.co/oN8E6M1cE3"
3299,saidulajava1,"RT @SKodineya: #Never #store #business #Data on #personal drives. 
#StaySafeOnline #cybersecuritytips
#G20India
#DigitalIndia
#DigitalTrans…"
3300,ashisht135,"RT @g20org: Experiencing #DigitalIndia! 

At Shilpgram crafts village, #G20 delegates used the UPI, India’s homegrown and massively success…"
3301,BetterThan_Cash,"RT @g20org: Experiencing #DigitalIndia! 

At Shilpgram crafts village, #G20 delegates used the UPI, India’s homegrown and massively success…"
3302,MohdRiaz0,"RT @CSCegov_: Travel Services through #CSC...

Now Book Train, Flight, Bus, and even Hotels through Digital Seva Portal and Earn Great Comm…"
3303,CricReply,"RT @g20org: Experiencing #DigitalIndia! 

At Shilpgram crafts village, #G20 delegates used the UPI, India’s homegrown and massively success…"
3304,ChiragVarna,"RT @g20org: Experiencing #DigitalIndia! 

At Shilpgram crafts village, #G20 delegates used the UPI, India’s homegrown and massively success…"
3305,bjp4jain2,"RT @SKodineya: #Never #store #business #Data on #personal drives. 
#StaySafeOnline #cybersecuritytips
#G20India
#DigitalIndia
#DigitalTrans…"
3306,Aruncha88660032,"RT @g20org: Experiencing #DigitalIndia! 

At Shilpgram crafts village, #G20 delegates used the UPI, India’s homegrown and massively success…"
3307,g20org,"Experiencing #DigitalIndia! 

At Shilpgram crafts village, #G20 delegates used the UPI, India’s homegrown and massively successful digital payments interface to make a transaction and buy Rajasthani angrakha! #G20India https://t.co/PREy3UtF0J"
3308,manojku74136278,"RT @aubankindia: We are pleased to announce a Bancassurance tie-up with ICICI Lombard General Insurance. With this, we will aim to enrich o…"
3309,StartupSanatana,"RT @manjunathrajug: #NammaBengaluru leads #DigitalIndia

#Bengaluru emerges at the top with the highest number of digital transactions in #…"
3310,TaxHelpdesk_in,"To know more, click: https://t.co/ltNiNgzOQQ

#ITC #CGST #SGST #UTGST #IGST #inputtaxcredit #rule88a #ledger #eLedger #ecashledger #credit #electronicledger #taxseason #incometax #incometaxseason #india #digitalindia #taxprofessional #taxconsultant #taxtips #savetaxes #investment https://t.co/w1WkJ22Vlc"
3311,NeGD_GoI,"#DigitalIndia | Choose a differently-abled category and a disability percentage, and myScheme will provide a list of schemes that are specifically tailored to you! Celebrate yourself with myScheme!
 
Source: https://t.co/ujTkUdx6KP
#AmritMahotsav https://t.co/eeSKgk0xDr"
3312,NeGD_GoI,"Focus on enjoying your travel! 
 
#UMANG app will take care of recharging your #FasTAG at a click of a button or smart touch. To download @UmangOfficial_, give a missed call to 97183-97183. #UMANGbhare5saal #DigitalIndia #AmritMahotsav #G20India https://t.co/6wiWNEkTaQ"
3313,NeGD_GoI,"Share your valuable feedback on the Draft Digital Personal #DataProtectionBill, 2022 on various aspects of digital personal data and its protection by 17 Dec 2022. Go to https://t.co/3hL64owl8K… 
#DigitalIndia #G20India #AmritMahotsav https://t.co/i7HRiZHthF"
3314,ramupuranam,"RT @eOrganiser: German Foreign Minister shops at Chandni Chowk, uses Paytm for payment 

#DigitalIndia #ChandniChowk  https://t.co/C15ROixb…"
3315,sidd_raii,RT @STPIGANDHINAGAR: Congratulations M/s. Infosense Services for renewal of license!#GrowWithSTPI #DigitalIndia #STPIINDIA #StartupIndia @A…
3316,santosh_chachad,"RT @BSNL_RJ: Enjoy full #Entertainment: #Lokdhun #ErosNow
Avail 2GB/Day data + U/L local/STD voice calls + 100 SMS/Day.  
#RechargeNow with…"
3317,Kuldeep54500474,"RT @SKodineya: #Never #store #business #Data on #personal drives. 
#StaySafeOnline #cybersecuritytips
#G20India
#DigitalIndia
#DigitalTrans…"
3318,selvamstpic,"RT @StpiChennai: Congratulations M/s. iInterchange Systems Pvt Ltd #Chennai! for renewal of license!
#GrowWithSTPI #DigitalIndia #STPIINDIA…"
3319,WarGame1729,"RT @eOrganiser: German Foreign Minister shops at Chandni Chowk, uses Paytm for payment 

#DigitalIndia #ChandniChowk  https://t.co/C15ROixb…"
3320,indiaigf_,"The esteemed panel at India IGF will discuss and explore all the possibilities of youth empowerment amidst digital transformations at #IIGF2022

🗓️9th-11th December, 2022
💻https://t.co/TXZbHZlIAh 

#IndiaIGF2022 #DigitalIndia #youthempowerment #digitaltransformation https://t.co/5sy0jRJFJa"
3321,YGurunadha,"RT @STPIBengaluru: Welcome, M/s. Innominds Software Private Limited- EHTP Unit! Looking forward to a successful journey ahead. #GrowWithSTP…"
3322,YGurunadha,RT @STPIBengaluru: Congratulations M/s BogrWarner India Private Limited for renewal of license! #GrowWithSTPI #DigitalIndia #STPIINDIA #Sta…
3323,YGurunadha,RT @STPIBengaluru: Congratulations M/s Infinera India Private Limited for renewal of license! #GrowWithSTPI #DigitalIndia #STPIINDIA #Start…
3324,YGurunadha,RT @STPIBengaluru: Congratulations M/s Prysm Displays India Private Limited for renewal of license! #GrowWithSTPI #DigitalIndia #STPIINDIA…
3325,FutureMaha4,"RT @_DigitalIndia: #DigitalIndia | Choose a differently-abled category and a disability percentage, and myScheme will provide a list of sch…"
3326,madhan_stpi,"RT @StpiChennai: Congratulations M/s. iInterchange Systems Pvt Ltd #Chennai! for renewal of license!
#GrowWithSTPI #DigitalIndia #STPIINDIA…"
3327,samratsaheb,RT @GoI_MeitY: Hon’ble PM @narendramodi has invited citizens to share ideas &amp; suggestions for themes that should be given importance during…
3328,YoursShakti,RT @GoI_MeitY: Hon’ble PM @narendramodi has invited citizens to share ideas &amp; suggestions for themes that should be given importance during…
3329,BaknaGovinda,"RT @AnanyPahal: Meet our team in Village Palra, Block Bangra, Tehsil Mauranipur. Hope we will be able to bring some changes in village Palr…"
3330,AnanyPahal,"Meet our team in Village Palra, Block Bangra, Tehsil Mauranipur. Hope we will be able to bring some changes in village Palra with them..

#digitalindia
#study
#educationtoall
#socialwork 
#menstrualhygiene
#plantation
#environment 
#computerliteracy
#skilldevelopment
#skillindia https://t.co/m4nRAGaQ4X"
3331,murlima34122629,RT @murlima34122629: @JioMart @JioMart_Support @reliancejio @MukeshAmbanima  JIO is sending expired product as well as less products @jagog…
3332,murlima34122629,@JioMart @JioMart_Support @reliancejio @MukeshAmbanima  JIO is sending expired product as well as less products @jagograhakjago #digitalindia #RelianceIndustries #reliancejio #Reliance  always less quantity is send #JioFiber @RelianceCapital @reliancepower so wrong https://t.co/vmHHMEzsH1
3333,Ajit_DovalNSA,"RT @eOrganiser: German Foreign Minister shops at Chandni Chowk, uses Paytm for payment 

#DigitalIndia #ChandniChowk  https://t.co/C15ROixb…"
3334,sr_patra,RT @STPIBengaluru: Congratulations M/s Prysm Displays India Private Limited for renewal of license! #GrowWithSTPI #DigitalIndia #STPIINDIA…
3335,sr_patra,RT @STPIHyderabad: Congratulations M/s. GRIPTONITE GAMES INDIA PRIVATE LIMITED! for renewal of license #GrowWithSTPI #DigitalIndia #STPIIND…
3336,PulkitBagga10,"RT @CscTravels: Congratulations to top 3 IRCTC VLEs who has booked highest IRCTC Tickets in the Month of November'22.

Wish you all the bes…"
3337,skfatehpur,RT @Aman1801998: Pathetic experience of SBI ATM #ArvindKejriwal #SBI #sbiyono #RavishKumarNDTV  #DigitalTransformation #DigitalIndia #MakeI…
3338,Bjp4jain1,"RT @SKodineya: #Never #store #business #Data on #personal drives. 
#StaySafeOnline #cybersecuritytips
#G20India
#DigitalIndia
#DigitalTrans…"
3339,madhavbbk,"RT @CSCegov_: Travel Services through #CSC...

Now Book Train, Flight, Bus, and even Hotels through Digital Seva Portal and Earn Great Comm…"
3340,BikramDatta4,"RT @CSCegov_: Travel Services through #CSC...

Now Book Train, Flight, Bus, and even Hotels through Digital Seva Portal and Earn Great Comm…"
3341,nikhilvolt,"RT @eOrganiser: German Foreign Minister shops at Chandni Chowk, uses Paytm for payment 

#DigitalIndia #ChandniChowk  https://t.co/C15ROixb…"
3342,MahenNayak,"RT @cscfinancial_: Who is eligible for CSC-HDFC Bank Dukandaar OD!

#cscfinancialservices
#hdfcbank
#digitalindia https://t.co/be1lArE3L4"
3343,baishyaamal11,RT @GoI_MeitY: Hon’ble PM @narendramodi has invited citizens to share ideas &amp; suggestions for themes that should be given importance during…
